Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TIT.MI,0.3906,2020/09/01,17:40 CEST,-0.00819999,0.409,0.409,0.389,148160659,,,,,,,
ISP.MI,1.8018,2020/09/01,17:37 CEST,-0.0033999681,1.815,1.818,1.7788,119210233,,,,,,,
FTSEMIB.MI,19595.02,2020/09/01,17:35 CEST,-38.679688,19776.36,19870.67,19434.74,0,,,,,,,
REN.AS,18.73,2020/09/01,17:35 CEST,-0.13500023,19.05,19.095,18.585,1248082,,,,,,,
UNA.AS,48.69,2020/09/01,17:39 CEST,0.1800003,48.85,49.1,48.21,2588805,,,,,,,
PHIA.AS,39.97,2020/09/01,17:35 CEST,0.3350029,39.9,40.665,39.76,2562585,,,,,,,
AD.AS,25.2,2020/09/01,17:35 CEST,-0.01999855,25.28,25.49,25.05,2867659,,,,,,,
AEGOF,2.78,2020/08/25,11:48 EDT,0.0,2.78,2.78,2.78,100,,,,,,,
KPN.AS,2.182,2020/09/01,17:38 CEST,-0.015000105,2.207,2.219,2.176,8917919,,,,,,,
RDSA.AS,12.35,2020/09/01,17:35 CEST,-0.12999916,12.55,12.566,12.094,15370134,,,,,,,
INGA.AS,6.807,2020/09/01,17:35 CEST,0.0030002594,6.932,6.932,6.677,17206962,,,,,,,
"^AEX",552.22,2020/09/01,18:05 CEST,3.0199585,552.78,556.47,547.43,0,,,,,,,
0027.HK,61.4,2020/09/02,14:26 HKT,-0.75,61.8,62.25,61.2,5873077,,,,,,,
1810.HK,25.55,2020/09/02,14:26 HKT,-0.050001144,26.6,26.95,24.7,360545704,,,,,,,
